,rouge-1-p,rouge-1-r,rouge-1-f,rouge-2-p,rouge-2-r,rouge-2-f,rouge-3-p,rouge-3-r,rouge-3-f,rouge-l-p,rouge-l-r,rouge-l-f,rouge-w-1.2-p,rouge-w-1.2-r,rouge-w-1.2-f,rouge-s2-p,rouge-s2-r,rouge-s2-f,rouge-su2-p,rouge-su2-r,rouge-su2-f,bleu_score
RA_curve_1,0.20155038759689922,0.6190476190476191,0.30409356725146197,0.07476635514018691,0.2318840579710145,0.11307420494699648,0.03442879499217527,0.10784313725490197,0.05219454329774614,0.13333333333333333,0.4095238095238095,0.20116959064327486,0.09901976719223234,0.1299416087755918,0.11239264959126904,0.06468440271257173,0.20261437908496732,0.09806247528667457,0.0984759671746776,0.3076923076923077,0.1492007104795737,1.5230558114907297e-155
RA_tab_7,0.09,0.3151750972762646,0.14001728608470182,0.02564102564102564,0.09055118110236221,0.03996524761077325,0.012304250559284116,0.043824701195219126,0.01921397379912664,0.06,0.21011673151750973,0.09334485738980121,0.04260783498872756,0.06119611887516079,0.05023766509708046,0.020507084265473527,0.07304116865869854,0.03202328966521106,0.03799944118468846,0.13505461767626614,0.05931094635848234,1.3144039389336727e-155
RA_graph_1,0.33752620545073375,0.5590277777777778,0.42091503267973857,0.14767932489451477,0.24561403508771928,0.1844532279314888,0.0870488322717622,0.1453900709219858,0.10889774236387782,0.25157232704402516,0.4166666666666667,0.3137254901960784,0.17223951711223287,0.1199370751362654,0.14140697409294342,0.12880396319886767,0.21513002364066194,0.16113324479858346,0.18177000529941706,0.3032714412024757,0.22730284956925115,2.2915316677439425e-155
RA_graph_3,0.1750841750841751,0.30057803468208094,0.22127659574468084,0.034013605442176874,0.058823529411764705,0.04310344827586207,0.006872852233676976,0.011976047904191617,0.008733624454148471,0.13468013468013468,0.23121387283236994,0.1702127659574468,0.09843683835053588,0.07873341187675317,0.08748949812686285,0.022909507445589918,0.03992015968063872,0.02911208151382824,0.061696658097686374,0.10730253353204174,0.07834602829162134,2.196044066044723e-155
RA_graph_5,0.09326424870466321,0.32727272727272727,0.14516129032258066,0.022569444444444444,0.08024691358024691,0.03523035230352303,0.005235602094240838,0.018867924528301886,0.00819672131147541,0.07426597582037997,0.2606060606060606,0.11559139784946236,0.05252187867216724,0.08119958024136274,0.06378564123242979,0.012798138452588714,0.04612159329140461,0.020036429872495445,0.033115468409586055,0.1189358372456964,0.05180640763462849,1.5507927947617918e-155
RA_tab_2,0.08843537414965986,0.4508670520231214,0.14786729857819905,0.02161547212741752,0.11176470588235295,0.03622497616777883,0.00684931506849315,0.03592814371257485,0.011505273250239692,0.07142857142857142,0.36416184971098264,0.11943127962085308,0.04675937565089494,0.11084923579736385,0.06577357683231884,0.0182648401826484,0.09580838323353294,0.030680728667305847,0.03507271171941831,0.18330849478390462,0.0588798468166587,1.4712447666359053e-155
RA_graph_arch_1,0.17595628415300546,0.3150684931506849,0.22580645161290322,0.03508771929824561,0.06299212598425197,0.04507042253521127,0.0121012101210121,0.02178217821782178,0.01555869872701556,0.1540983606557377,0.2759295499021526,0.19775596072931276,0.09034537457055002,0.07703151590490681,0.08315892520642303,0.03887055372203887,0.06996699669966996,0.04997642621404997,0.07337180544105523,0.13198220464656452,0.09431296361709643,1.434897242846878e-155
RA_curve_3,0.08733624454148471,0.36363636363636365,0.14084507042253522,0.011695906432748537,0.04938271604938271,0.01891252955082742,0.002936857562408223,0.012578616352201259,0.0047619047619047615,0.06841339155749636,0.28484848484848485,0.11032863849765256,0.045844784861961294,0.09002320378223994,0.06075153465013676,0.00783162016642193,0.033542976939203356,0.012698412698412698,0.027869453612027868,0.1189358372456964,0.0451574569221628,1.7280428924839829e-155
RA_curve_6,0.12074829931972789,0.5399239543726235,0.19735927727588604,0.0443307757885763,0.2,0.07257501744591766,0.015384615384615385,0.07003891050583658,0.025227750525578137,0.09863945578231292,0.44106463878326996,0.16122307157748436,0.06711015065309238,0.12261142962546859,0.08674259935927879,0.0339031339031339,0.1543450064850843,0.0555944872693296,0.05573350416399744,0.25315227934044615,0.09135456772838643,1.4079236387457843e-155
RA_tab_3,0.23809523809523808,0.5113636363636364,0.3249097472924188,0.112,0.24277456647398843,0.15328467153284672,0.06451612903225806,0.1411764705882353,0.08856088560885608,0.15608465608465608,0.3352272727272727,0.21299638989169675,0.12656500376204388,0.12518848655988324,0.12587298195671678,0.09767025089605735,0.21372549019607842,0.13407134071340715,0.1334674714956405,0.2913616398243045,0.18307267709291627,2.0370428560086104e-155
RA_tab_4,0.3384615384615385,0.28205128205128205,0.3076923076923077,0.08785529715762273,0.07311827956989247,0.07981220657276995,0.044270833333333336,0.0367965367965368,0.04018912529550827,0.2128205128205128,0.17735042735042736,0.19347319347319347,0.14185050175269948,0.04297037126773013,0.06595974388838143,0.078125,0.06493506493506493,0.07092198581560284,0.14359974009096815,0.11939492166396543,0.13038348082595871,2.2326135269236334e-155
RA_tab_10,0.16563786008230452,0.4128205128205128,0.23641703377386197,0.048503611971104234,0.12144702842377261,0.06932153392330384,0.016563146997929608,0.041666666666666664,0.023703703703703706,0.11213991769547325,0.2794871794871795,0.16005873715124816,0.07162927866394792,0.0725587530037443,0.07209102001464271,0.04278812974465148,0.1076388888888889,0.06123456790123456,0.07370054305663305,0.18518518518518517,0.10543840177580467,1.4197246037694384e-155
RA_graph_7,0.07566462167689161,0.5068493150684932,0.1316725978647687,0.0205761316872428,0.14285714285714285,0.03597122302158273,0.010351966873706004,0.07462686567164178,0.01818181818181818,0.07566462167689161,0.5068493150684932,0.1316725978647687,0.059932485218611324,0.21201424691234533,0.09344874725753483,0.022084195997239476,0.15920398009950248,0.03878787878787879,0.03565891472868217,0.25461254612546125,0.06255666364460562,1.884227312319362e-155
RA_graph_arch_3,0.043555555555555556,0.44545454545454544,0.07935222672064778,0.008021390374331552,0.08411214953271028,0.01464605370219691,0.0008936550491510277,0.009615384615384616,0.001635322976287817,0.04088888888888889,0.41818181818181815,0.07449392712550607,0.029087044316694472,0.18802790850096954,0.050380464692693555,0.004766160262138814,0.05128205128205128,0.008721722540201688,0.014512167894619335,0.15513126491646778,0.026541445487954268,1.4072193202069001e-155
RA_tab_9,0.3181818181818182,0.23140495867768596,0.26794258373205737,0.09578544061302682,0.06944444444444445,0.08051529790660225,0.05813953488372093,0.04201680672268908,0.04878048780487805,0.22348484848484848,0.162534435261708,0.18819776714513559,0.15848296598281747,0.04412891131029948,0.069035249497553,0.09560723514211886,0.06909430438842204,0.08021680216802168,0.15265700483091788,0.11041229909154437,0.1281427412814274,2.2706392740752027e-155
RA_graph_6,0.11039426523297491,0.5877862595419847,0.18587809293904645,0.04597701149425287,0.2471042471042471,0.07752877044215627,0.03095752339812815,0.16796875,0.05227963525835866,0.10681003584229391,0.5687022900763359,0.179843089921545,0.06925419461954428,0.2134864334341932,0.10458228880268318,0.04151667866570674,0.22526041666666666,0.0701114488348531,0.05864364094261558,0.317429406037001,0.09899787427877316,1.1410400003820076e-155
RA_graph_arch_2,0.08366533864541832,0.5575221238938053,0.14549653579676672,0.02262142381902861,0.15246636771300448,0.03939745075318656,0.005333333333333333,0.03636363636363636,0.009302325581395349,0.08167330677290836,0.5442477876106194,0.1420323325635104,0.05218877713942015,0.2167902829738434,0.08412565468367357,0.015333333333333332,0.10454545454545454,0.026744186046511624,0.03248375812093953,0.22083805209513024,0.056636654080743545,1.9897972577116598e-79
RA_curve_5,0.06892230576441102,0.7236842105263158,0.12585812356979403,0.042767295597484274,0.4657534246575342,0.0783410138248848,0.026515151515151516,0.3,0.048723897911832945,0.05513784461152882,0.5789473684210527,0.10068649885583524,0.044288056393053915,0.24295309718246746,0.07491907294582864,0.03409090909090909,0.38571428571428573,0.06264501160092806,0.042888678650268054,0.48056537102473496,0.0787492762015055,1.3855921949420485e-155
RA_tab_6,0.15223097112860892,0.29441624365482233,0.20069204152249134,0.0582010582010582,0.1134020618556701,0.07692307692307693,0.048,0.09424083769633508,0.06360424028268552,0.12335958005249344,0.23857868020304568,0.16262975778546712,0.09743359824899894,0.08122858732196483,0.08859617963554454,0.05511111111111111,0.1082024432809773,0.07302709069493521,0.07984031936127745,0.15645371577574968,0.10572687224669604,2.0201756911075517e-155
RA_graph_2,0.2465753424657534,0.5482233502538071,0.3401574803149606,0.1310344827586207,0.29381443298969073,0.18124006359300482,0.05787037037037037,0.13089005235602094,0.08025682182985554,0.2237442922374429,0.49746192893401014,0.30866141732283464,0.14624521446876015,0.1516381750390457,0.14889287695348663,0.11342592592592593,0.25654450261780104,0.15730337078651685,0.14558058925476602,0.3285528031290743,0.20176140912730184,1.8697649543032126e-155
RA_graph_4,0.1,0.39473684210526316,0.15957446808510642,0.02756892230576441,0.10963455149501661,0.044058744993324434,0.011725293132328308,0.04697986577181208,0.01876675603217158,0.07166666666666667,0.28289473684210525,0.11436170212765959,0.04860802493706887,0.07549672030114854,0.05913950278083424,0.024567280848687884,0.09843400447427293,0.03932082216264522,0.043523749738439005,0.17405857740585773,0.0696350853699364,1.2959938346724123e-155
RA_curve_4,0.08524904214559387,0.46113989637305697,0.1438965238480194,0.024975984630163303,0.1368421052631579,0.04224207961007311,0.011560693641618497,0.06417112299465241,0.019591836734693877,0.07758620689655173,0.41968911917098445,0.13096200485044462,0.05088670143333588,0.11960733626672966,0.07139748570620355,0.02697495183044316,0.1497326203208556,0.045714285714285714,0.04115523465703971,0.22769640479360853,0.06971055849979617,1.380024086975211e-155
RA_curve_2,0.10865561694290976,0.3277777777777778,0.1632088520055325,0.011111111111111112,0.03389830508474576,0.016736401673640166,0.0,0.0,0.0,0.0865561694290976,0.2611111111111111,0.13001383125864455,0.059826141912503274,0.0825267785670701,0.06936645555991568,0.0111731843575419,0.034482758620689655,0.016877637130801686,0.03579730357973036,0.11015736766809728,0.05403508771929824,2.1410578123721403e-155
RA_curve_7,0.12586805555555555,0.5234657039711191,0.20293911826452063,0.04525674499564839,0.1897810218978102,0.07308503162333099,0.017452006980802792,0.07380073800738007,0.028228652081863093,0.09027777777777778,0.37545126353790614,0.14555633310007,0.06155327078310872,0.10354763212841443,0.07720969815368794,0.03723094822571262,0.15744157441574416,0.06022112444130792,0.05929801613254851,0.250229990800368,0.0958759252731759,1.4566116759724184e-155
RA_tab_5,0.30648769574944074,0.31712962962962965,0.3117178612059158,0.11486486486486487,0.11888111888111888,0.11683848797250859,0.07256235827664399,0.07511737089201878,0.07381776239907728,0.19015659955257272,0.19675925925925927,0.19340159271899887,0.14108321225007972,0.05398717232094404,0.07809164582401483,0.11035525321239607,0.11424100156494522,0.1122645136485967,0.16015846066779854,0.16578793204452255,0.1629245826137018,1.8986327671745365e-155
RA_graph_8,0.09602194787379972,0.48951048951048953,0.1605504587155963,0.04132231404958678,0.21428571428571427,0.06928406466512702,0.024896265560165973,0.13138686131386862,0.04186046511627907,0.07818930041152264,0.3986013986013986,0.13073394495412843,0.059535332644994055,0.14010211118544397,0.08356173705345371,0.03411710465652374,0.18004866180048662,0.05736434108527132,0.049740932642487044,0.2613430127041742,0.08357515960533952,1.451030685717355e-155
RA_tab_1,0.21666666666666667,0.5829596412556054,0.3159173754556501,0.10050251256281408,0.2727272727272727,0.14687882496940025,0.05723905723905724,0.15668202764976957,0.08384710234278668,0.15,0.40358744394618834,0.21871202916160387,0.11007742864880825,0.1312242321819275,0.11972421578261151,0.0931537598204265,0.25499231950844853,0.1364570489108097,0.12442202606137033,0.33983926521239954,0.18215384615384617,1.9599580365778184e-155
RA_tab_8,0.25862068965517243,0.22167487684729065,0.2387267904509284,0.06432748538011696,0.055,0.05929919137466307,0.011904761904761904,0.01015228426395939,0.010958904109589041,0.19540229885057472,0.16748768472906403,0.18037135278514588,0.1397744106594763,0.05141437456197527,0.07517610298639359,0.037698412698412696,0.032148900169204735,0.034703196347031964,0.09481481481481481,0.08091024020227561,0.08731241473397,2.5406524524079725e-155
WA_curve_1,0.20465116279069767,0.6285714285714286,0.30877192982456136,0.0763239875389408,0.23671497584541062,0.1154299175500589,0.03599374021909233,0.11274509803921569,0.054567022538552785,0.13798449612403102,0.4238095238095238,0.20818713450292398,0.1018306725190974,0.13363030216122299,0.11558317514384134,0.0683359415753782,0.21405228758169934,0.10359826018189008,0.10199296600234467,0.31868131868131866,0.15452930728241565,1.5478290701712908e-155
WA_tab_7,0.07,0.42857142857142855,0.12034383954154729,0.016722408026755852,0.10416666666666667,0.02881844380403458,0.003355704697986577,0.02127659574468085,0.005797101449275362,0.04666666666666667,0.2857142857142857,0.08022922636103151,0.03414406340170139,0.09598451236604934,0.05037020126397143,0.013422818791946308,0.0851063829787234,0.02318840579710145,0.027661357921207042,0.1746031746031746,0.04775687409551375,1.2902761838320552e-155
WA_graph_1,0.3018867924528302,0.488135593220339,0.37305699481865284,0.11181434599156118,0.1815068493150685,0.1383812010443864,0.06794055201698514,0.11072664359861592,0.08421052631578947,0.20545073375262055,0.33220338983050846,0.2538860103626943,0.1417016760475297,0.09103978202661865,0.11085682634216125,0.10474168435951875,0.1707035755478662,0.12982456140350876,0.15474297827239003,0.25194132873166525,0.19172685489166122,2.2915316677439425e-155
WA_graph_3,0.1717171717171717,0.2947976878612717,0.2170212765957447,0.030612244897959183,0.052941176470588235,0.03879310344827586,0.003436426116838488,0.005988023952095809,0.004366812227074236,0.12794612794612795,0.21965317919075145,0.16170212765957448,0.09389412848117357,0.07154569710997571,0.08121044437414558,0.020618556701030927,0.03592814371257485,0.02620087336244541,0.05912596401028278,0.10283159463487332,0.0750816104461371,2.196044066044723e-155
WA_graph_5,0.07944732297063903,0.3458646616541353,0.1292134831460674,0.017361111111111112,0.07692307692307693,0.028328611898016998,0.0034904013961605585,0.015748031496062992,0.005714285714285714,0.05872193436960276,0.2556390977443609,0.09550561797752807,0.04339647865657026,0.08654033118263667,0.057805723254975926,0.009889470622454915,0.04461942257217848,0.016190476190476186,0.027450980392156862,0.1232876712328767,0.04490377761938703,1.5507927947617918e-155
WA_tab_2,0.08390022675736962,0.4378698224852071,0.14081826831588964,0.026166097838452786,0.13855421686746988,0.04401913875598086,0.010273972602739725,0.05521472392638037,0.017324350336862367,0.06462585034013606,0.33727810650887574,0.10846812559467174,0.044653728612537164,0.10396717009395413,0.06247468341794043,0.020167427701674276,0.1083844580777096,0.03400705806865576,0.035357855717137156,0.18931297709923664,0.05958673714560308,1.4229411676160311e-155
WA_graph_arch_1,0.17595628415300546,0.34549356223175964,0.2331643736422882,0.041666666666666664,0.08207343412526998,0.055272727272727265,0.015401540154015401,0.030434782608695653,0.02045288531775018,0.14754098360655737,0.28969957081545067,0.1955104996379435,0.08739883958419145,0.08236752826655415,0.08480862824660242,0.034103410341034104,0.06739130434782609,0.045288531775018265,0.06979939543830722,0.13781877373846987,0.09266690988690257,1.4731947881238756e-155
WA_curve_3,0.07569141193595343,0.33121019108280253,0.12322274881516589,0.0029239766081871343,0.012987012987012988,0.00477326968973747,0.0,0.0,0.0,0.05240174672489083,0.22929936305732485,0.08530805687203791,0.03510854962510305,0.06941225822186371,0.046631168713139465,0.004405286343612335,0.019867549668874173,0.007211538461538463,0.022368903557022368,0.10049423393739704,0.036592681463707255,1.7280428924839829e-155
WA_curve_6,0.055272108843537414,0.4482758620689655,0.0984102952308857,0.014492753623188406,0.11971830985915492,0.02585551330798479,0.005128205128205128,0.04316546762589928,0.009167303284950343,0.05272108843537415,0.42758620689655175,0.09386828160484481,0.038026930658199905,0.14199411669559373,0.059988545882014625,0.013675213675213675,0.11510791366906475,0.024446142093200916,0.0241298313047192,0.20214669051878353,0.04311331552842427,1.2448274191423513e-155
WA_tab_3,0.2328042328042328,0.4943820224719101,0.31654676258992803,0.09866666666666667,0.21142857142857144,0.13454545454545455,0.051075268817204304,0.11046511627906977,0.06985294117647059,0.15873015873015872,0.33707865168539325,0.2158273381294964,0.1172520957877223,0.110022644100038,0.1135223880243532,0.08691756272401434,0.187984496124031,0.11887254901960784,0.12407780013413816,0.26772793053545585,0.1695692025664528,2.09141172555525e-155
